"Date","Direct","Social Sources","Referring Domains"
"2021/06/30","9","0","0"
"2021/07/01","14","1","0"
"2021/07/02","7","2","2"
"2021/07/03","53","5","3"
"2021/07/04","51","0","0"
"2021/07/05","57","0","0"
"2021/07/06","49","1","4"
"2021/07/07","27","1","1"
"2021/07/08","13","0","0"
"2021/07/09","211","1","4"
"2021/07/10","12","0","0"
"2021/07/11","0","1","0"
"2021/07/12","3","1","0"
"2021/07/13","71","2","7"
"2021/07/14","42","4","21"
"2021/07/15","78","3","9"
"2021/07/16","39","1","2"
"2021/07/17","18","0","0"
"2021/07/18","1","0","0"
"2021/07/19","17","0","10"
"2021/07/20","108","1","8"
"2021/07/21","48","1","1"
"2021/07/22","2","0","1"
"2021/07/24","1","0","1"
"2021/07/25","7","0","2"
"2021/07/26","7","1","4"
"2021/07/27","40","0","5"
"2021/07/28","26","1","1"
"2021/07/29","8","1","5"
"2021/07/30","5","1","4"
"2021/07/31","0","0","12"
"2021/08/01","0","0","1"
"2021/08/02","70","2","6"
"2021/08/03","81","0","5"
"2021/08/04","64","0","1"
"2021/08/05","65","0","9"
"2021/08/06","6","1","13"
"2021/08/08","1","0","0"
"2021/08/09","73","1","16"
"2021/08/10","65","2","4"
"2021/08/11","100","0","1"
"2021/08/12","47","0","0"
"2021/08/13","112","0","5"
"2021/08/14","3","0","0"
"2021/08/15","8","0","0"
"2021/08/16","186","0","0"
"2021/08/17","97","0","0"
"2021/08/18","9","0","1"
"2021/08/19","0","0","4"
"2021/08/20","11","0","5"
"2021/08/21","13","1","2"
"2021/08/22","21","1","3"
"2021/08/24","2","0","1"
"2021/08/25","70","0","8"
"2021/08/26","140","0","1"
"2021/08/27","23","0","0"
"2021/08/28","10","0","1"
"2021/08/29","24","0","0"
"2021/08/30","41","0","0"
"2021/08/31","65","1","4"
"2021/09/01","8","1","1"
"2021/09/02","43","5","11"
"2021/09/03","87","2","14"
"2021/09/04","32","0","9"
"2021/09/05","8","0","3"
"2021/09/06","17","0","1"
"2021/09/07","13","0","0"
"2021/09/08","143","0","5"
"2021/09/09","33","0","0"
"2021/09/10","104","0","1"
"2021/09/11","56","0","6"
"2021/09/12","30","1","0"
"2021/09/13","9","0","1"
"2021/09/14","20","0","1"
"2021/09/15","64","3","3"
"2021/09/16","5","0","3"
"2021/09/17","1","0","2"
"2021/09/18","2","0","0"
"2021/09/19","2","0","0"
"2021/09/20","0","0","1"
"2021/09/22","25","0","4"